,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
treacheryfaithandthegreatriver,0.0,10.0,0.0,48.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,11.0,70.0,98.0,128.0,5.0,8.0,22.0,0.0,156.0,0.0,8.0,0.0,154.0
trialsandtribbleations,0.0,68.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,69.0,56.0,0.0,0.0,129.0,0.0,0.0,0.0,36.0,0.0,102.0
tribunal,0.0,21.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,23.0,0.0,0.0,158.0,75.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0
valiant,0.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,5.0,0.0,138.0,0.0,8.0,25.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,144.0
visionary,0.0,93.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,139.0,68.0,39.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,62.0
vortex,0.0,8.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,169.0,81.0,12.0,52.0,0.0,0.0,0.0,0.0,0.0,11.0
waltz,0.0,8.0,0.0,15.0,18.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,16.0,4.0,0.0,0.0,129.0,0.0,15.0,0.0,14.0,0.0,133.0
whatyouleavebehind,0.0,72.0,3.0,31.0,0.0,64.0,0.0,44.0,82.0,11.0,39.0,10.0,89.0,32.0,26.0,60.0,79.0,59.0,0.0,126.0,31.0,65.0,49.0,28.0,0.0,173.0
whenitrains,0.0,135.0,0.0,18.0,0.0,31.0,0.0,16.0,28.0,0.0,0.0,0.0,62.0,35.0,0.0,58.0,44.0,9.0,0.0,43.0,0.0,0.0,37.0,10.0,0.0,169.0
whispers,0.0,45.0,56.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,38.0,15.0,0.0,0.0,351.0,24.0,14.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,33.0
whomournsformorn,0.0,13.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,70.0,342.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,134.0
wrongsdarkerthandeathornight,0.0,8.0,3.0,0.0,21.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,7.0,12.0,4.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,139.0
youarecordiallyinvited,0.0,32.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,37.0,66.0,1.0,22.0,10.0,38.0,2.0,50.0,0.0,0.0,0.0,84.0,0.0,129.0
